as_of_year,state_abbr,loan_purpose_name,loan_type_name,action_taken_name,count
2007,IA,Home purchase,VA-guaranteed,Application approved but not accepted,51
2007,IA,Home purchase,FSA/RHS-guaranteed,Loan originated,322
2007,IA,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,49
2007,IA,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,13
2007,IA,Home purchase,FHA-insured,Loan originated,2198
2007,IA,Home purchase,FHA-insured,Application denied by financial institution,549
2007,IA,Home purchase,FHA-insured,Application approved but not accepted,188
2007,IA,Home purchase,Conventional,Loan originated,42261
2007,IA,Home purchase,Conventional,Application denied by financial institution,6720
2007,IA,Home purchase,Conventional,Application approved but not accepted,3926
2007,HI,Refinancing,VA-guaranteed,Loan originated,43
2007,ID,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,46
2007,ID,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,5
2007,ID,Home purchase,FHA-insured,Loan originated,1999
2007,ID,Home purchase,FHA-insured,Application denied by financial institution,473
2007,ID,Home purchase,FHA-insured,Application approved but not accepted,120
2007,ID,Home purchase,Conventional,Loan originated,27204
2007,ID,Home purchase,Conventional,Application denied by financial institution,6374
2007,ID,Home purchase,Conventional,Application approved but not accepted,3804
2007,IA,Refinancing,VA-guaranteed,Loan originated,41
2007,IA,Refinancing,VA-guaranteed,Application denied by financial institution,34
2007,IA,Refinancing,VA-guaranteed,Application approved but not accepted,23
2007,IA,Refinancing,FSA/RHS-guaranteed,Loan originated,14
2007,IA,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,3
2007,IA,Refinancing,FHA-insured,Loan originated,2001
2007,IA,Refinancing,FHA-insured,Application denied by financial institution,840
2007,IA,Refinancing,FHA-insured,Application approved but not accepted,230
2007,IL,Home purchase,Conventional,Application approved but not accepted,24179
2007,ID,Refinancing,VA-guaranteed,Loan originated,148
2007,ID,Refinancing,VA-guaranteed,Application denied by financial institution,66
2007,ID,Refinancing,VA-guaranteed,Application approved but not accepted,21
2007,ID,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,1
2007,ID,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,3
2007,ID,Refinancing,FHA-insured,Loan originated,1761
2007,ID,Refinancing,FHA-insured,Application denied by financial institution,761
2007,ID,Refinancing,FHA-insured,Application approved but not accepted,171
2007,ID,Refinancing,Conventional,Loan originated,30090
2007,ID,Refinancing,Conventional,Application denied by financial institution,19301
2007,ID,Refinancing,Conventional,Application approved but not accepted,6389
2007,ID,Home purchase,VA-guaranteed,Loan originated,848
2007,ID,Home purchase,VA-guaranteed,Application denied by financial institution,135
2007,ID,Home purchase,VA-guaranteed,Application approved but not accepted,43
2007,ID,Home purchase,FSA/RHS-guaranteed,Loan originated,134
2007,IL,Refinancing,FHA-insured,Application denied by financial institution,5084
2007,IL,Refinancing,FHA-insured,Application approved but not accepted,1003
2007,IL,Refinancing,Conventional,Loan originated,231814
2007,IL,Refinancing,Conventional,Application denied by financial institution,143036
2007,IL,Refinancing,Conventional,Application approved but not accepted,40902
2007,IL,Home purchase,VA-guaranteed,Loan originated,2154
2007,IL,Home purchase,VA-guaranteed,Application denied by financial institution,296
2007,IL,Home purchase,VA-guaranteed,Application approved but not accepted,105
2007,IL,Home purchase,FSA/RHS-guaranteed,Loan originated,1657
2007,IL,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,336
2007,IL,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,84
2007,IL,Home purchase,FHA-insured,Loan originated,7812
2007,IL,Home purchase,FHA-insured,Application denied by financial institution,2064
2007,IL,Home purchase,FHA-insured,Application approved but not accepted,472
2007,IL,Home purchase,Conventional,Loan originated,178784
2007,IL,Home purchase,Conventional,Application denied by financial institution,49320
2007,IN,Home purchase,VA-guaranteed,Application approved but not accepted,85
2007,IN,Home purchase,FSA/RHS-guaranteed,Loan originated,519
2007,IN,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,101
2007,IN,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,15
2007,IN,Home purchase,FHA-insured,Loan originated,9753
2007,IN,Home purchase,FHA-insured,Application denied by financial institution,2459
2007,IN,Home purchase,FHA-insured,Application approved but not accepted,639
2007,IN,Home purchase,Conventional,Loan originated,84793
2007,IN,Home purchase,Conventional,Application denied by financial institution,20261
2007,IN,Home purchase,Conventional,Application approved but not accepted,9505
2007,IL,Refinancing,VA-guaranteed,Loan originated,429
2007,IL,Refinancing,VA-guaranteed,Application denied by financial institution,116
2007,IL,Refinancing,VA-guaranteed,Application approved but not accepted,48
2007,IL,Refinancing,FSA/RHS-guaranteed,Loan originated,19
2007,IL,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,8
2007,IL,Refinancing,FHA-insured,Loan originated,10693
2007,KS,Home purchase,Conventional,Application denied by financial institution,7119
2007,KS,Home purchase,Conventional,Application approved but not accepted,3872
2007,IN,Refinancing,VA-guaranteed,Loan originated,306
2007,IN,Refinancing,VA-guaranteed,Application denied by financial institution,137
2007,IN,Refinancing,VA-guaranteed,Application approved but not accepted,38
2007,IN,Refinancing,FSA/RHS-guaranteed,Loan originated,5
2007,IN,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,8
2007,IN,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,2
2007,IN,Refinancing,FHA-insured,Loan originated,7425
2007,IN,Refinancing,FHA-insured,Application denied by financial institution,3700
2007,IN,Refinancing,FHA-insured,Application approved but not accepted,791
2007,IN,Refinancing,Conventional,Loan originated,77478
2007,IN,Refinancing,Conventional,Application denied by financial institution,71165
2007,IN,Refinancing,Conventional,Application approved but not accepted,16451
2007,IN,Home purchase,VA-guaranteed,Loan originated,1586
2007,IN,Home purchase,VA-guaranteed,Application denied by financial institution,305
2007,KS,Refinancing,FHA-insured,Loan originated,2205
2007,KS,Refinancing,FHA-insured,Application denied by financial institution,917
2007,KS,Refinancing,FHA-insured,Application approved but not accepted,243
2007,KS,Refinancing,Conventional,Loan originated,31278
2007,KS,Refinancing,Conventional,Application denied by financial institution,24921
2007,KS,Refinancing,Conventional,Application approved but not accepted,5862
2007,KS,Home purchase,VA-guaranteed,Loan originated,1351
2007,KS,Home purchase,VA-guaranteed,Application denied by financial institution,192
2007,KS,Home purchase,VA-guaranteed,Application approved but not accepted,73
2007,KS,Home purchase,FSA/RHS-guaranteed,Loan originated,913
2007,KS,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,211
2007,KS,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,14
2007,KS,Home purchase,FHA-insured,Loan originated,3746
2007,KS,Home purchase,FHA-insured,Application denied by financial institution,693
2007,KS,Home purchase,FHA-insured,Application approved but not accepted,189
2007,KS,Home purchase,Conventional,Loan originated,38723
2007,KY,Home purchase,VA-guaranteed,Application denied by financial institution,329
2007,KY,Home purchase,VA-guaranteed,Application approved but not accepted,84
2007,KY,Home purchase,FSA/RHS-guaranteed,Loan originated,962
2007,KY,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,256
2007,KY,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,4
2007,KY,Home purchase,FHA-insured,Loan originated,4924
2007,KY,Home purchase,FHA-insured,Application denied by financial institution,1372
2007,KY,Home purchase,FHA-insured,Application approved but not accepted,342
2007,KY,Home purchase,Conventional,Loan originated,47826
2007,KY,Home purchase,Conventional,Application denied by financial institution,15073
2007,KY,Home purchase,Conventional,Application approved but not accepted,6412
2007,KS,Refinancing,VA-guaranteed,Loan originated,114
2007,KS,Refinancing,VA-guaranteed,Application denied by financial institution,53
2007,KS,Refinancing,VA-guaranteed,Application approved but not accepted,19
2007,KS,Refinancing,FSA/RHS-guaranteed,Loan originated,5
2007,KS,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,1
2007,LA,Home purchase,FHA-insured,Application approved but not accepted,462
2007,LA,Home purchase,Conventional,Loan originated,51407
2007,LA,Home purchase,Conventional,Application denied by financial institution,17963
2007,LA,Home purchase,Conventional,Application approved but not accepted,9098
2007,KY,Refinancing,VA-guaranteed,Loan originated,209
